GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-auth,com.duocuc.msauth.controller,AuthController,0,16,0,0,0,5,0,3,0,3
ms-auth,com.duocuc.msauth.config,OpenApiConfig,17,0,0,0,5,0,2,0,2,0
ms-auth,com.duocuc.msauth.config,SecurityConfig,25,0,0,0,6,0,5,0,5,0
ms-auth,com.duocuc.msauth.service,AuthService,0,87,0,4,0,15,0,6,0,4
ms-auth,com.duocuc.msauth.service,JwtService,50,0,0,0,16,0,3,0,3,0
ms-auth,com.duocuc.msauth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
ms-auth,com.duocuc.msauth.dto,AuthResponse,0,6,0,0,0,1,0,1,0,1
ms-auth,com.duocuc.msauth.dto,RegisterRequest,0,9,0,0,0,1,0,1,0,1
ms-auth,com.duocuc.msauth,MsAuthApplication,5,3,0,0,2,1,1,1,1,1
ms-auth,com.duocuc.msauth.domain,User,11,31,0,0,3,10,3,5,3,5
